,ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
38,300122.SZ,2021-02-09 10:55:00,196.1,196.74,196.88,195.7,267500.0,52516438.0,20210209,196.29
39,300122.SZ,2021-02-09 10:50:00,194.02,196.29,196.5,194.0,268591.0,52488227.96,20210209,194.2
40,300122.SZ,2021-02-09 10:45:00,194.79,194.2,195.46,193.68,232825.0,45319691.75,20210209,194.69
41,300122.SZ,2021-02-09 10:40:00,193.26,194.69,194.69,192.37,469749.0,90786387.12,20210209,193.26
42,300122.SZ,2021-02-09 10:35:00,195.0,193.26,195.37,193.25,558242.0,108481320.22,20210209,195.2
43,300122.SZ,2021-02-09 10:30:00,195.91,195.2,196.11,193.28,867942.0,168865729.92,20210209,196.12
44,300122.SZ,2021-02-09 10:25:00,196.52,196.12,196.62,195.5,662712.0,129950340.23,20210209,196.5
45,300122.SZ,2021-02-09 10:20:00,198.32,196.5,199.01,196.45,412400.0,81442998.0,20210209,198.88
46,300122.SZ,2021-02-09 10:15:00,200.18,198.88,200.49,198.31,161900.0,32338291.0,20210209,200.02
47,300122.SZ,2021-02-09 10:10:00,199.33,200.02,200.5,199.21,203200.0,40614951.0,20210209,199.64
48,300122.SZ,2021-02-09 10:05:00,197.9,199.64,200.51,197.9,260979.0,52050216.7,20210209,197.9
49,300122.SZ,2021-02-09 10:00:00,199.4,197.9,200.5,197.68,467408.0,92899833.26,20210209,199.33
50,300122.SZ,2021-02-09 09:55:00,199.56,199.33,201.1,198.58,409476.0,81794240.72,20210209,199.57
51,300122.SZ,2021-02-09 09:50:00,202.54,199.57,202.54,198.28,802910.0,160560841.8,20210209,202.76
52,300122.SZ,2021-02-09 09:45:00,204.25,202.76,204.3,201.89,661766.0,134582917.75,20210209,204.17
53,300122.SZ,2021-02-09 09:40:00,203.8,204.17,205.53,202.48,866634.0,176985123.49,20210209,204.0
54,300122.SZ,2021-02-09 09:35:00,201.27,204.0,205.48,201.13,1652353.0,335260189.05,20210209,200.66
55,300122.SZ,2021-02-09 09:30:00,200.66,200.66,200.66,200.66,103556.0,20779546.96,20210209,196.7
56,300122.SZ,2021-02-08 15:00:00,196.56,196.7,196.9,196.56,557449.0,109652880.88,20210208,196.66
57,300122.SZ,2021-02-08 14:55:00,196.28,196.66,197.32,196.28,332424.0,65452231.19,20210208,196.26
58,300122.SZ,2021-02-08 14:50:00,196.32,196.26,196.49,196.15,244396.0,47989949.6,20210208,196.33
59,300122.SZ,2021-02-08 14:45:00,196.38,196.33,196.9,196.3,220668.0,43340371.52,20210208,196.49
60,300122.SZ,2021-02-08 14:40:00,196.0,196.49,196.59,195.91,237600.0,46626901.0,20210208,195.91
61,300122.SZ,2021-02-08 14:35:00,197.0,195.91,197.29,195.88,272235.0,53408474.35,20210208,197.21
62,300122.SZ,2021-02-08 14:30:00,196.71,197.21,197.3,196.46,164978.0,32492559.32,20210208,196.97
63,300122.SZ,2021-02-08 14:25:00,197.23,196.97,197.89,196.5,168200.0,33155314.2,20210208,197.44
64,300122.SZ,2021-02-08 14:20:00,196.29,197.44,197.5,196.24,138330.0,27251680.7,20210208,196.53
65,300122.SZ,2021-02-08 14:15:00,197.93,196.53,197.93,196.0,181100.0,35615756.0,20210208,197.9
66,300122.SZ,2021-02-08 14:10:00,198.2,197.9,198.49,197.0,219300.0,43350441.0,20210208,198.21
67,300122.SZ,2021-02-08 14:05:00,197.71,198.21,198.54,197.71,176200.0,34909067.0,20210208,197.8
68,300122.SZ,2021-02-08 14:00:00,197.4,197.8,198.01,197.27,149400.0,29549453.0,20210208,197.26
69,300122.SZ,2021-02-08 13:55:00,196.8,197.26,197.44,196.01,189366.0,37206629.24,20210208,
